INSEE,Latitude,Longitude
02029,49.85,3.16667
02030,50.0333,3.26667
02031,49.8333,4.2
02032,49.7833,3.11667
02033,49.5,3.8
02034,49.4833,3.13333
02035,49.85,3.65
02036,49.3333,3.51667
02037,49.6167,3.6
02038,49.7667,4.2257
02039,49.7,3.8
02040,49.9,3.85
02041,49.5833,3.23333
02042,49,3.36667
02043,49.4667,3.28333
02044,49.8,4.01667
02046,49.6333,3.65
02047,49.65,3.63333
02048,49.6667,3.68333
02049,49.5787,3.32806
02050,50.0333,3.75
02051,49.0833,3.55
02052,49.5333,3.38333
02053,48.9833,3.61667
02054,49.3073,3.61861
02055,49.8333,4.15
02056,49.7,3.13333
02057,50,3.3
02058,49.4,3.73333
02059,49.65,3.33333
02060,49.8167,3.1
02061,50.0173,3.46973
02062,49.1,3.3
02063,49.9167,3.25
02064,49.3667,3.33333
02065,49.95,3.23333
02066,49.75,3.31667
02067,50.0333,3.71667
02068,49.7787,3.75806
02069,49.6667,4.11667
02070,49.8667,3.5
02071,49.4167,3.15
02072,49.4833,3.85
02073,49.4,3.9
02074,49.6167,3.38333
02075,49.7667,3.38333
02076,49.3833,4
02077,49.3333,3.31667
02078,49.5333,3.16667
02079,49.8333,4.11667
02080,49.6,3.58333
02081,49.6167,3.15
02082,49.2333,3.41667
02083,49.15,3.48333
02084,49.0167,3.23333
02085,49.1,3.4
02086,49.5833,3.21667
02087,49.45,3.26667
02088,49.5,3.71667
02089,49.3667,3.38333
02090,49.2167,3.3
02091,49.3333,3.66667
02093,49.5167,3.15
02094,49.0333,3.45
02095,49.9833,3.45
02096,49.7167,3.65
02097,49.6167,3.95
02098,49,3.35
02099,49.1167,3.31667
02100,49.9833,3.21667
02101,49.7333,3.86667
02102,49.4656,3.75556
02103,50.0167,3.7
02104,49.3667,3.85
02105,49.0667,3.3
02106,49.4,3.65
02107,49.55,3.16667
02108,49.5281,3.54139
02109,49.8667,3.96667
02110,49.3333,3.53333
02111,49.5167,3.41667
02112,49.9667,3.38333
02114,49.05,3.43333
02115,49.4333,3.61667
02116,49.7833,3.96667
02117,49.7667,3.15
02118,49.4333,3.36667
02119,49.15,3.43333
02120,49.3667,3.53333
02121,49.1833,3.35
02122,49.6009,3.4825
02123,49.7167,3.36667
02124,49.7437,3.38028
02125,49.1,3.15
02126,49.7667,4.18333
02127,49.1833,3.43333
02128,49.5167,3.66667
02129,49.2667,3.56667
02130,49.8833,4.08333
02131,49.4,3.38333
02132,49.5833,3.51667
02133,49.65,3.9
02134,49.9,4.05
02135,49.9667,3.83333
02136,49.7833,3.9
02137,49.0833,3.25
02138,49.3167,3.35
02139,49.6167,3.15
02140,49.5248,3.13417
02141,49.9773,3.91639
02142,49.8,3.23333
